tcpdump -n -i eth0
17:06:18.306967 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26945680:26945892, ack 15337, win 501, options [nop,nop,TS val 3769979136 ecr 827633594], length 212
17:06:18.308144 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26952040:26952252, ack 15337, win 501, options [nop,nop,TS val 3769979137 ecr 827633594], length 212
17:06:18.308181 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26952252:26952464, ack 15337, win 501, options [nop,nop,TS val 3769979137 ecr 827633594], length 212
17:06:18.308224 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26952464:26952676, ack 15337, win 501, options [nop,nop,TS val 3769979137 ecr 827633594], length 212
17:06:18.308262 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26952676:26952888, ack 15337, win 501, options [nop,nop,TS val 3769979137 ecr 827633594], length 212
17:06:18.311276 IP 99.230.36.4.54786 > 68.183.205.32.22: Flags [.], ack 26575344, win 37094, options [nop,nop,TS val 827633608 ecr 3769978991], length 0
17:06:18.311511 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26952888:26953100, ack 15337, win 501, options [nop,nop,TS val 3769979140 ecr 827633608], length 212
17:06:18.311552 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26953100:26953288, ack 15337, win 501, options [nop,nop,TS val 3769979140 ecr 827633608], length 188
17:06:18.311609 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26953288:26953676, ack 15337, win 501, options [nop,nop,TS val 3769979141 ecr 827633608], length 388
17:06:18.311649 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26953676:26953888, ack 15337, win 501, options [nop,nop,TS val 3769979141 ecr 827633608], length 212
17:06:18.311689 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26953888:26954100, ack 15337, win 501, options [nop,nop,TS val 3769979141 ecr 827633608], length 212
17:06:18.311727 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26954100:26954312, ack 15337, win 501, options [nop,nop,TS val 3769979141 ecr 827633608], length 212
17:06:18.311764 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26954312:26954524, ack 15337, win 501, options [nop,nop,TS val 3769979141 ecr 827633608], length 212
17:06:18.311806 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26954524:26954736, ack 15337, win 501, options [nop,nop,TS val 3769979141 ecr 827633608], length 212
17:06:18.311843 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26954736:26954948, ack 15337, win 501, options [nop,nop,TS val 3769979141 ecr 827633608], length 212
17:06:18.311880 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26954948:26955160, ack 15337, win 501, options [nop,nop,TS val 3769979141 ecr 827633608], length 212
17:06:18.311918 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26955160:26955372, ack 15337, win 501, options [nop,nop,TS val 3769979141 ecr 827633608], length 212
17:06:18.311960 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26955372:26955584, ack 15337, win 501, options [nop,nop,TS val 3769979141 ecr 827633608], length 212
17:06:18.311996 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26955584:26955796, ack 15337, win 501, options [nop,nop,TS val 3769979141 ecr 827633608], length 212
17:06:18.312036 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26955796:26956008, ack 15337, win 501, options [nop,nop,TS val 3769979141 ecr 827633608], length 212
17:06:18.312072 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26956008:26956220, ack 15337, win 501, options [nop,nop,TS val 3769979141 ecr 827633608], length 212
17:06:18.312109 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26956220:26956432, ack 15337, win 501, options [nop,nop,TS val 3769979141 ecr 827633608], length 212
17:06:18.312146 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26956432:26956644, ack 15337, win 501, options [nop,nop,TS val 3769979141 ecr 827633608], length 212
17:06:18.312185 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26956644:26956856, ack 15337, win 501, options [nop,nop,TS val 3769979141 ecr 827633608], length 212
17:06:18.312222 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26956856:26957068, ack 15337, win 501, options [nop,nop,TS val 3769979141 ecr 827633608], length 212
17:06:18.312263 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26957068:26957280, ack 15337, win 501, options [nop,nop,TS val 3769979141 ecr 827633608], length 212
17:06:18.312299 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26957280:26957492, ack 15337, win 501, options [nop,nop,TS val 3769979141 ecr 827633608], length 212
17:06:18.312348 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26957492:26957704, ack 15337, win 501, options [nop,nop,TS val 3769979141 ecr 827633608], length 212
17:06:18.312385 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26957704:26957916, ack 15337, win 501, options [nop,nop,TS val 3769979141 ecr 827633608], length 212
17:06:18.312421 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26957916:26958128, ack 15337, win 501, options [nop,nop,TS val 3769979141 ecr 827633608], length 212
17:06:18.312460 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26958128:26958340, ack 15337, win 501, options [nop,nop,TS val 3769979141 ecr 827633608], length 212
17:06:18.312497 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26958340:26958552, ack 15337, win 501, options [nop,nop,TS val 3769979141 ecr 827633608], length 212
17:06:18.312536 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26958552:26958764, ack 15337, win 501, options [nop,nop,TS val 3769979141 ecr 827633608], length 212
17:06:18.312576 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26958764:26958976, ack 15337, win 501, options [nop,nop,TS val 3769979142 ecr 827633608], length 212
17:06:18.312616 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26958976:26959188, ack 15337, win 501, options [nop,nop,TS val 3769979142 ecr 827633608], length 212
17:06:18.312653 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26959188:26959400, ack 15337, win 501, options [nop,nop,TS val 3769979142 ecr 827633608], length 212
17:06:18.312693 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26959400:26959612, ack 15337, win 501, options [nop,nop,TS val 3769979142 ecr 827633608], length 212
17:06:18.312732 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26959612:26959824, ack 15337, win 501, options [nop,nop,TS val 3769979142 ecr 827633608], length 212
17:06:18.312769 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26959824:26960036, ack 15337, win 501, options [nop,nop,TS val 3769979142 ecr 827633608], length 212
17:06:18.312811 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26960036:26960248, ack 15337, win 501, options [nop,nop,TS val 3769979142 ecr 827633608], length 212
17:06:18.312865 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26960248:26960460, ack 15337, win 501, options [nop,nop,TS val 3769979142 ecr 827633608], length 212
17:06:18.312919 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26960460:26960672, ack 15337, win 501, options [nop,nop,TS val 3769979142 ecr 827633608], length 212
17:06:18.312965 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26960672:26960884, ack 15337, win 501, options [nop,nop,TS val 3769979142 ecr 827633608], length 212
17:06:18.313015 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26960884:26961096, ack 15337, win 501, options [nop,nop,TS val 3769979142 ecr 827633608], length 212
17:06:18.313057 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26961096:26961308, ack 15337, win 501, options [nop,nop,TS val 3769979142 ecr 827633608], length 212
17:06:18.313102 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26961308:26961520, ack 15337, win 501, options [nop,nop,TS val 3769979142 ecr 827633608], length 212
17:06:18.313148 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26961520:26961732, ack 15337, win 501, options [nop,nop,TS val 3769979142 ecr 827633608], length 212
17:06:18.313191 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26961732:26961944, ack 15337, win 501, options [nop,nop,TS val 3769979142 ecr 827633608], length 212
17:06:18.313235 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26961944:26962156, ack 15337, win 501, options [nop,nop,TS val 3769979142 ecr 827633608], length 212
17:06:18.313278 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26962156:26962368, ack 15337, win 501, options [nop,nop,TS val 3769979142 ecr 827633608], length 212
17:06:18.313323 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26962368:26962580, ack 15337, win 501, options [nop,nop,TS val 3769979142 ecr 827633608], length 212
17:06:18.313365 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26962580:26962792, ack 15337, win 501, options [nop,nop,TS val 3769979142 ecr 827633608], length 212
17:06:18.313412 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26962792:26963004, ack 15337, win 501, options [nop,nop,TS val 3769979142 ecr 827633608], length 212
17:06:18.313456 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26963004:26963216, ack 15337, win 501, options [nop,nop,TS val 3769979142 ecr 827633608], length 212
17:06:18.313499 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26963216:26963428, ack 15337, win 501, options [nop,nop,TS val 3769979142 ecr 827633608], length 212
17:06:18.313544 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26963428:26963640, ack 15337, win 501, options [nop,nop,TS val 3769979142 ecr 827633608], length 212
17:06:18.313587 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26963640:26963852, ack 15337, win 501, options [nop,nop,TS val 3769979143 ecr 827633608], length 212
17:06:18.313631 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26963852:26964064, ack 15337, win 501, options [nop,nop,TS val 3769979143 ecr 827633608], length 212
17:06:18.313675 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26964064:26964276, ack 15337, win 501, options [nop,nop,TS val 3769979143 ecr 827633608], length 212
17:06:18.313720 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26964276:26964488, ack 15337, win 501, options [nop,nop,TS val 3769979143 ecr 827633608], length 212
17:06:18.313762 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26964488:26964700, ack 15337, win 501, options [nop,nop,TS val 3769979143 ecr 827633608], length 212
17:06:18.313808 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26964700:26964912, ack 15337, win 501, options [nop,nop,TS val 3769979143 ecr 827633608], length 212
17:06:18.313851 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26964912:26965124, ack 15337, win 501, options [nop,nop,TS val 3769979143 ecr 827633608], length 212
17:06:18.313895 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26965124:26965336, ack 15337, win 501, options [nop,nop,TS val 3769979143 ecr 827633608], length 212
17:06:18.313942 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26965336:26965548, ack 15337, win 501, options [nop,nop,TS val 3769979143 ecr 827633608], length 212
17:06:18.313986 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26965548:26965760, ack 15337, win 501, options [nop,nop,TS val 3769979143 ecr 827633608], length 212
17:06:18.314032 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26965760:26965972, ack 15337, win 501, options [nop,nop,TS val 3769979143 ecr 827633608], length 212
17:06:18.314084 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26965972:26966184, ack 15337, win 501, options [nop,nop,TS val 3769979143 ecr 827633608], length 212
17:06:18.314131 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26966184:26966396, ack 15337, win 501, options [nop,nop,TS val 3769979143 ecr 827633608], length 212
17:06:18.314176 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26966396:26966608, ack 15337, win 501, options [nop,nop,TS val 3769979143 ecr 827633608], length 212
17:06:18.314219 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26966608:26966820, ack 15337, win 501, options [nop,nop,TS val 3769979143 ecr 827633608], length 212
17:06:18.314263 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26966820:26967032, ack 15337, win 501, options [nop,nop,TS val 3769979143 ecr 827633608], length 212
17:06:18.314305 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26967032:26967244, ack 15337, win 501, options [nop,nop,TS val 3769979143 ecr 827633608], length 212
17:06:18.314351 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26967244:26967456, ack 15337, win 501, options [nop,nop,TS val 3769979143 ecr 827633608], length 212
17:06:18.314393 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26967456:26967668, ack 15337, win 501, options [nop,nop,TS val 3769979143 ecr 827633608], length 212
17:06:18.314439 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26967668:26967880, ack 15337, win 501, options [nop,nop,TS val 3769979143 ecr 827633608], length 212
17:06:18.314481 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26967880:26968092, ack 15337, win 501, options [nop,nop,TS val 3769979143 ecr 827633608], length 212
17:06:18.314526 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26968092:26968304, ack 15337, win 501, options [nop,nop,TS val 3769979143 ecr 827633608], length 212
17:06:18.314568 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26968304:26968516, ack 15337, win 501, options [nop,nop,TS val 3769979144 ecr 827633608], length 212
17:06:18.314614 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26968516:26968728, ack 15337, win 501, options [nop,nop,TS val 3769979144 ecr 827633608], length 212
17:06:18.314658 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26968728:26968940, ack 15337, win 501, options [nop,nop,TS val 3769979144 ecr 827633608], length 212
17:06:18.314701 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26968940:26969152, ack 15337, win 501, options [nop,nop,TS val 3769979144 ecr 827633608], length 212
17:06:18.314747 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26969152:26969364, ack 15337, win 501, options [nop,nop,TS val 3769979144 ecr 827633608], length 212
17:06:18.314791 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26969364:26969576, ack 15337, win 501, options [nop,nop,TS val 3769979144 ecr 827633608], length 212
17:06:18.314834 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26969576:26969788, ack 15337, win 501, options [nop,nop,TS val 3769979144 ecr 827633608], length 212
17:06:18.314879 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26969788:26970000, ack 15337, win 501, options [nop,nop,TS val 3769979144 ecr 827633608], length 212
17:06:18.314923 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26970000:26970212, ack 15337, win 501, options [nop,nop,TS val 3769979144 ecr 827633608], length 212
17:06:18.314967 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26970212:26970424, ack 15337, win 501, options [nop,nop,TS val 3769979144 ecr 827633608], length 212
17:06:18.315011 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26970424:26970636, ack 15337, win 501, options [nop,nop,TS val 3769979144 ecr 827633608], length 212
17:06:18.315056 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26970636:26970848, ack 15337, win 501, options [nop,nop,TS val 3769979144 ecr 827633608], length 212
17:06:18.315098 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26970848:26971060, ack 15337, win 501, options [nop,nop,TS val 3769979144 ecr 827633608], length 212
17:06:18.315143 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26971060:26971272, ack 15337, win 501, options [nop,nop,TS val 3769979144 ecr 827633608], length 212
17:06:18.315210 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26971272:26971484, ack 15337, win 501, options [nop,nop,TS val 3769979144 ecr 827633608], length 212
17:06:18.315253 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26971484:26971696, ack 15337, win 501, options [nop,nop,TS val 3769979144 ecr 827633608], length 212
17:06:18.315298 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26971696:26971908, ack 15337, win 501, options [nop,nop,TS val 3769979144 ecr 827633608], length 212
17:06:18.315341 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26971908:26972120, ack 15337, win 501, options [nop,nop,TS val 3769979144 ecr 827633608], length 212
17:06:18.315386 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26972120:26972332, ack 15337, win 501, options [nop,nop,TS val 3769979144 ecr 827633608], length 212
17:06:18.315429 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26972332:26972544, ack 15337, win 501, options [nop,nop,TS val 3769979144 ecr 827633608], length 212
17:06:18.315480 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26972544:26972756, ack 15337, win 501, options [nop,nop,TS val 3769979144 ecr 827633608], length 212
17:06:18.315523 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26972756:26972968, ack 15337, win 501, options [nop,nop,TS val 3769979144 ecr 827633608], length 212
17:06:18.315567 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26972968:26973180, ack 15337, win 501, options [nop,nop,TS val 3769979144 ecr 827633608], length 212
17:06:18.315611 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26973180:26973392, ack 15337, win 501, options [nop,nop,TS val 3769979145 ecr 827633608], length 212
17:06:18.315656 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26973392:26973604, ack 15337, win 501, options [nop,nop,TS val 3769979145 ecr 827633608], length 212
17:06:18.315704 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26973604:26973816, ack 15337, win 501, options [nop,nop,TS val 3769979145 ecr 827633608], length 212
17:06:18.315748 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26973816:26974028, ack 15337, win 501, options [nop,nop,TS val 3769979145 ecr 827633608], length 212
17:06:18.315792 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26974028:26974240, ack 15337, win 501, options [nop,nop,TS val 3769979145 ecr 827633608], length 212
17:06:18.315837 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26974240:26974452, ack 15337, win 501, options [nop,nop,TS val 3769979145 ecr 827633608], length 212
17:06:18.315880 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26974452:26974664, ack 15337, win 501, options [nop,nop,TS val 3769979145 ecr 827633608], length 212
17:06:18.315923 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26974664:26974876, ack 15337, win 501, options [nop,nop,TS val 3769979145 ecr 827633608], length 212
17:06:18.315966 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26974876:26975088, ack 15337, win 501, options [nop,nop,TS val 3769979145 ecr 827633608], length 212
17:06:18.316011 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26975088:26975300, ack 15337, win 501, options [nop,nop,TS val 3769979145 ecr 827633608], length 212
17:06:18.316054 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26975300:26975512, ack 15337, win 501, options [nop,nop,TS val 3769979145 ecr 827633608], length 212
17:06:18.316100 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26975512:26975724, ack 15337, win 501, options [nop,nop,TS val 3769979145 ecr 827633608], length 212
17:06:18.316147 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26975724:26975936, ack 15337, win 501, options [nop,nop,TS val 3769979145 ecr 827633608], length 212
17:06:18.316188 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26975936:26976148, ack 15337, win 501, options [nop,nop,TS val 3769979145 ecr 827633608], length 212
17:06:18.316225 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26976148:26976360, ack 15337, win 501, options [nop,nop,TS val 3769979145 ecr 827633608], length 212
17:06:18.316271 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26976360:26976572, ack 15337, win 501, options [nop,nop,TS val 3769979145 ecr 827633608], length 212
17:06:18.316336 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26976572:26976784, ack 15337, win 501, options [nop,nop,TS val 3769979145 ecr 827633608], length 212
17:06:18.316388 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26976784:26976996, ack 15337, win 501, options [nop,nop,TS val 3769979145 ecr 827633608], length 212
17:06:18.316427 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26976996:26977208, ack 15337, win 501, options [nop,nop,TS val 3769979145 ecr 827633608], length 212
17:06:18.319068 IP 99.230.36.4.54786 > 68.183.205.32.22: Flags [.], ack 26588852, win 37094, options [nop,nop,TS val 827633613 ecr 3769978994], length 0
17:06:18.319269 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26977208:26977420, ack 15337, win 501, options [nop,nop,TS val 3769979148 ecr 827633613], length 212
