tcpdump -i eth0 tcp
17:07:54.221861 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13227928:13228188, ack 7777, win 501, options [nop,nop,TS val 3770075051 ecr 827727336], length 260
17:07:54.222296 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13230788:13231048, ack 7777, win 501, options [nop,nop,TS val 3770075051 ecr 827727336], length 260
17:07:54.222337 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13231048:13231308, ack 7777, win 501, options [nop,nop,TS val 3770075051 ecr 827727336], length 260
17:07:54.222375 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13231308:13231568, ack 7777, win 501, options [nop,nop,TS val 3770075051 ecr 827727336], length 260
17:07:54.222415 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13231568:13231828, ack 7777, win 501, options [nop,nop,TS val 3770075051 ecr 827727336], length 260
17:07:54.222457 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13231828:13232088, ack 7777, win 501, options [nop,nop,TS val 3770075051 ecr 827727336], length 260
17:07:54.222496 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13232088:13232348, ack 7777, win 501, options [nop,nop,TS val 3770075051 ecr 827727336], length 260
17:07:54.222537 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13232348:13232608, ack 7777, win 501, options [nop,nop,TS val 3770075051 ecr 827727336], length 260
17:07:54.222576 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13232608:13232868, ack 7777, win 501, options [nop,nop,TS val 3770075052 ecr 827727336], length 260
17:07:54.222606 IP cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786 > 68.183.205.32.ssh: Flags [P.], seq 7777:7813, ack 13141936, win 36662, options [nop,nop,TS val 827727345 ecr 3770075026], length 36
17:07:54.222766 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13232868:13233344, ack 7813, win 501, options [nop,nop,TS val 3770075052 ecr 827727345], length 476
17:07:54.222809 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13233344:13233604, ack 7813, win 501, options [nop,nop,TS val 3770075052 ecr 827727345], length 260
17:07:54.222849 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13233604:13233864, ack 7813, win 501, options [nop,nop,TS val 3770075052 ecr 827727345], length 260
17:07:54.222887 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13233864:13234124, ack 7813, win 501, options [nop,nop,TS val 3770075052 ecr 827727345], length 260
17:07:54.222927 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13234124:13234384, ack 7813, win 501, options [nop,nop,TS val 3770075052 ecr 827727345], length 260
17:07:54.222966 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13234384:13234644, ack 7813, win 501, options [nop,nop,TS val 3770075052 ecr 827727345], length 260
17:07:54.223006 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13234644:13234904, ack 7813, win 501, options [nop,nop,TS val 3770075052 ecr 827727345], length 260
17:07:54.223044 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13234904:13235164, ack 7813, win 501, options [nop,nop,TS val 3770075052 ecr 827727345], length 260
17:07:54.223082 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13235164:13235424, ack 7813, win 501, options [nop,nop,TS val 3770075052 ecr 827727345], length 260
17:07:54.223125 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13235424:13235684, ack 7813, win 501, options [nop,nop,TS val 3770075052 ecr 827727345], length 260
17:07:54.223163 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13235684:13235944, ack 7813, win 501, options [nop,nop,TS val 3770075052 ecr 827727345], length 260
17:07:54.223201 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13235944:13236204, ack 7813, win 501, options [nop,nop,TS val 3770075052 ecr 827727345], length 260
17:07:54.223239 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13236204:13236464, ack 7813, win 501, options [nop,nop,TS val 3770075052 ecr 827727345], length 260
17:07:54.223279 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13236464:13236724, ack 7813, win 501, options [nop,nop,TS val 3770075052 ecr 827727345], length 260
17:07:54.223317 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13236724:13236984, ack 7813, win 501, options [nop,nop,TS val 3770075052 ecr 827727345], length 260
17:07:54.223357 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13236984:13237244, ack 7813, win 501, options [nop,nop,TS val 3770075052 ecr 827727345], length 260
17:07:54.223480 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13237244:13237504, ack 7813, win 501, options [nop,nop,TS val 3770075052 ecr 827727345], length 260
17:07:54.223523 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13237504:13237764, ack 7813, win 501, options [nop,nop,TS val 3770075052 ecr 827727345], length 260
17:07:54.223572 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13237764:13238024, ack 7813, win 501, options [nop,nop,TS val 3770075053 ecr 827727345], length 260
17:07:54.223610 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13238024:13238284, ack 7813, win 501, options [nop,nop,TS val 3770075053 ecr 827727345], length 260
17:07:54.223649 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13238284:13238544, ack 7813, win 501, options [nop,nop,TS val 3770075053 ecr 827727345], length 260
17:07:54.223687 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13238544:13238804, ack 7813, win 501, options [nop,nop,TS val 3770075053 ecr 827727345], length 260
17:07:54.223726 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13238804:13239064, ack 7813, win 501, options [nop,nop,TS val 3770075053 ecr 827727345], length 260
17:07:54.223764 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13239064:13239324, ack 7813, win 501, options [nop,nop,TS val 3770075053 ecr 827727345], length 260
17:07:54.223801 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13239324:13239584, ack 7813, win 501, options [nop,nop,TS val 3770075053 ecr 827727345], length 260
17:07:54.223840 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13239584:13239844, ack 7813, win 501, options [nop,nop,TS val 3770075053 ecr 827727345], length 260
17:07:54.223879 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13239844:13240104, ack 7813, win 501, options [nop,nop,TS val 3770075053 ecr 827727345], length 260
17:07:54.223917 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13240104:13240364, ack 7813, win 501, options [nop,nop,TS val 3770075053 ecr 827727345], length 260
17:07:54.223957 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13240364:13240624, ack 7813, win 501, options [nop,nop,TS val 3770075053 ecr 827727345], length 260
17:07:54.223996 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13240624:13240884, ack 7813, win 501, options [nop,nop,TS val 3770075053 ecr 827727345], length 260
17:07:54.224035 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13240884:13241144, ack 7813, win 501, options [nop,nop,TS val 3770075053 ecr 827727345], length 260
17:07:54.224075 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13241144:13241404, ack 7813, win 501, options [nop,nop,TS val 3770075053 ecr 827727345], length 260
17:07:54.224113 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13241404:13241664, ack 7813, win 501, options [nop,nop,TS val 3770075053 ecr 827727345], length 260
17:07:54.224153 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13241664:13241924, ack 7813, win 501, options [nop,nop,TS val 3770075053 ecr 827727345], length 260
17:07:54.224191 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13241924:13242184, ack 7813, win 501, options [nop,nop,TS val 3770075053 ecr 827727345], length 260
17:07:54.224231 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13242184:13242444, ack 7813, win 501, options [nop,nop,TS val 3770075053 ecr 827727345], length 260
17:07:54.224268 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13242444:13242704, ack 7813, win 501, options [nop,nop,TS val 3770075053 ecr 827727345], length 260
17:07:54.224319 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13242704:13242964, ack 7813, win 501, options [nop,nop,TS val 3770075053 ecr 827727345], length 260
17:07:54.224357 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13242964:13243224, ack 7813, win 501, options [nop,nop,TS val 3770075053 ecr 827727345], length 260
17:07:54.224396 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13243224:13243484, ack 7813, win 501, options [nop,nop,TS val 3770075053 ecr 827727345], length 260
17:07:54.224434 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13243484:13243744, ack 7813, win 501, options [nop,nop,TS val 3770075053 ecr 827727345], length 260
17:07:54.224472 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13243744:13244004, ack 7813, win 501, options [nop,nop,TS val 3770075053 ecr 827727345], length 260
17:07:54.224512 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13244004:13244264, ack 7813, win 501, options [nop,nop,TS val 3770075053 ecr 827727345], length 260
17:07:54.224550 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13244264:13244524, ack 7813, win 501, options [nop,nop,TS val 3770075053 ecr 827727345], length 260
17:07:54.224589 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13244524:13244784, ack 7813, win 501, options [nop,nop,TS val 3770075054 ecr 827727345], length 260
17:07:54.224627 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13244784:13245044, ack 7813, win 501, options [nop,nop,TS val 3770075054 ecr 827727345], length 260
17:07:54.224669 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13245044:13245304, ack 7813, win 501, options [nop,nop,TS val 3770075054 ecr 827727345], length 260
17:07:54.224706 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13245304:13245564, ack 7813, win 501, options [nop,nop,TS val 3770075054 ecr 827727345], length 260
17:07:54.224743 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13245564:13245824, ack 7813, win 501, options [nop,nop,TS val 3770075054 ecr 827727345], length 260
17:07:54.224781 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13245824:13246084, ack 7813, win 501, options [nop,nop,TS val 3770075054 ecr 827727345], length 260
17:07:54.224819 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13246084:13246344, ack 7813, win 501, options [nop,nop,TS val 3770075054 ecr 827727345], length 260
17:07:54.224859 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13246344:13246604, ack 7813, win 501, options [nop,nop,TS val 3770075054 ecr 827727345], length 260
17:07:54.224897 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13246604:13246864, ack 7813, win 501, options [nop,nop,TS val 3770075054 ecr 827727345], length 260
17:07:54.224963 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13246864:13247124, ack 7813, win 501, options [nop,nop,TS val 3770075054 ecr 827727345], length 260
17:07:54.225012 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13247124:13247384, ack 7813, win 501, options [nop,nop,TS val 3770075054 ecr 827727345], length 260
17:07:54.225051 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13247384:13247644, ack 7813, win 501, options [nop,nop,TS val 3770075054 ecr 827727345], length 260
17:07:54.225091 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13247644:13247904, ack 7813, win 501, options [nop,nop,TS val 3770075054 ecr 827727345], length 260
17:07:54.225130 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13247904:13248164, ack 7813, win 501, options [nop,nop,TS val 3770075054 ecr 827727345], length 260
17:07:54.225171 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13248164:13248424, ack 7813, win 501, options [nop,nop,TS val 3770075054 ecr 827727345], length 260
17:07:54.225209 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13248424:13248684, ack 7813, win 501, options [nop,nop,TS val 3770075054 ecr 827727345], length 260
17:07:54.225251 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13248684:13248944, ack 7813, win 501, options [nop,nop,TS val 3770075054 ecr 827727345], length 260
17:07:54.225290 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13248944:13249204, ack 7813, win 501, options [nop,nop,TS val 3770075054 ecr 827727345], length 260
17:07:54.225332 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13249204:13249464, ack 7813, win 501, options [nop,nop,TS val 3770075054 ecr 827727345], length 260
17:07:54.225370 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13249464:13249724, ack 7813, win 501, options [nop,nop,TS val 3770075054 ecr 827727345], length 260
17:07:54.225408 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13249724:13249984, ack 7813, win 501, options [nop,nop,TS val 3770075054 ecr 827727345], length 260
17:07:54.225448 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13249984:13250244, ack 7813, win 501, options [nop,nop,TS val 3770075054 ecr 827727345], length 260
17:07:54.225486 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13250244:13250504, ack 7813, win 501, options [nop,nop,TS val 3770075054 ecr 827727345], length 260
17:07:54.225527 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13250504:13250764, ack 7813, win 501, options [nop,nop,TS val 3770075054 ecr 827727345], length 260
17:07:54.225567 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13250764:13251024, ack 7813, win 501, options [nop,nop,TS val 3770075054 ecr 827727345], length 260
17:07:54.225607 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13251024:13251284, ack 7813, win 501, options [nop,nop,TS val 3770075055 ecr 827727345], length 260
17:07:54.225645 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13251284:13251544, ack 7813, win 501, options [nop,nop,TS val 3770075055 ecr 827727345], length 260
17:07:54.225685 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13251544:13251804, ack 7813, win 501, options [nop,nop,TS val 3770075055 ecr 827727345], length 260
17:07:54.225722 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13251804:13252064, ack 7813, win 501, options [nop,nop,TS val 3770075055 ecr 827727345], length 260
17:07:54.225761 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13252064:13252324, ack 7813, win 501, options [nop,nop,TS val 3770075055 ecr 827727345], length 260
17:07:54.225802 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13252324:13252584, ack 7813, win 501, options [nop,nop,TS val 3770075055 ecr 827727345], length 260
17:07:54.225839 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13252584:13252844, ack 7813, win 501, options [nop,nop,TS val 3770075055 ecr 827727345], length 260
17:07:54.225880 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13252844:13253104, ack 7813, win 501, options [nop,nop,TS val 3770075055 ecr 827727345], length 260
17:07:54.225918 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13253104:13253364, ack 7813, win 501, options [nop,nop,TS val 3770075055 ecr 827727345], length 260
17:07:54.225956 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13253364:13253624, ack 7813, win 501, options [nop,nop,TS val 3770075055 ecr 827727345], length 260
17:07:54.225994 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13253624:13253884, ack 7813, win 501, options [nop,nop,TS val 3770075055 ecr 827727345], length 260
17:07:54.226034 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13253884:13254144, ack 7813, win 501, options [nop,nop,TS val 3770075055 ecr 827727345], length 260
17:07:54.226073 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13254144:13254404, ack 7813, win 501, options [nop,nop,TS val 3770075055 ecr 827727345], length 260
17:07:54.226113 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13254404:13254664, ack 7813, win 501, options [nop,nop,TS val 3770075055 ecr 827727345], length 260
17:07:54.226151 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13254664:13254924, ack 7813, win 501, options [nop,nop,TS val 3770075055 ecr 827727345], length 260
17:07:54.226189 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13254924:13255184, ack 7813, win 501, options [nop,nop,TS val 3770075055 ecr 827727345], length 260
17:07:54.226229 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13255184:13255444, ack 7813, win 501, options [nop,nop,TS val 3770075055 ecr 827727345], length 260
17:07:54.226293 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13255444:13255704, ack 7813, win 501, options [nop,nop,TS val 3770075055 ecr 827727345], length 260
17:07:54.226333 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13255704:13255964, ack 7813, win 501, options [nop,nop,TS val 3770075055 ecr 827727345], length 260
17:07:54.226371 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13255964:13256224, ack 7813, win 501, options [nop,nop,TS val 3770075055 ecr 827727345], length 260
17:07:54.226409 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13256224:13256484, ack 7813, win 501, options [nop,nop,TS val 3770075055 ecr 827727345], length 260
17:07:54.226447 IP 68.183.205.32.ssh > cpe00fc8d483dd3-cm00fc8d483dd0.cpe.net.cable.rogers.com.54786: Flags [P.], seq 13256484:13256744, ack 7813, win 501, options [nop,nop,TS val 3770075055 ecr 827727345], length 260
